LGA,Total_BE,Rate_BE,Rank_BE,Total_DwellThef,Rate_DwellThef,Rank_DwellThef,Total_MVThef,Rate_MVThef,Rank_MVThef,Total_NDomVio,Rate_NDomVio,Rank_NDomVio,Total_PossUsCnnbs,Rate_PossUsCnnbs,Rank_PossUsCnnbs,Total_PropDmg,Rate_PropDmg,Rank_PropDmg,Total_Robb,Rate_Robb,Rank_Robb,Total_TeaOff,Rate_TeaOff,Rank_TeaOff,Total_StelYoCar,Rate_StelYoCar,Rank_StelYoCar,Total_Tress,Rate_Tress,Rank_Tress
Northern Beaches,391,145.5,113,421,156.7,100,779,290,80,602,224.1,96,242,90.1,108,"1,193",444,103,37,13.8,66,249,92.7,109,209,77.8,105,205,76.3,101
Ku-ring-gai,327,262.8,75,148,118.9,113,191,153.5,112,103,82.8,119,44,35.4,118,317,254.7,119,17,13.7,67,81,65.1,117,30,24.1,119,41,32.9,117
Hornsby,208,139.5,114,124,83.2,119,306,205.2,105,215,144.2,110,142,95.2,107,528,354.1,113,19,12.7,70,162,108.6,103,90,60.4,115,90,60.4,109
Parramatta,933,383.5,46,546,224.4,75,"1,246",512.2,39,847,348.2,67,392,161.1,79,"1,385",569.3,84,89,36.6,23,313,128.7,90,323,132.8,75,191,78.5,99
Ryde,286,229.7,84,177,142.2,103,302,242.6,94,231,185.5,105,93,74.7,110,461,370.3,112,19,15.3,64,124,99.6,106,80,64.3,112,69,55.4,111
Lane Cove,80,206.5,98,69,178.1,92,97,250.4,91,45,116.2,114,28,72.3,111,124,320.1,116,3,7.7,87,39,100.7,105,26,67.1,111,21,54.2,112
Willoughby,181,227.2,85,101,126.8,109,190,238.5,96,139,174.4,107,88,110.4,103,322,404.1,106,19,23.8,43,71,89.1,111,55,69,110,73,91.6,91
North Sydney,160,219.1,91,168,230,70,157,215,102,140,191.7,103,107,146.5,86,340,465.5,99,14,19.2,49,70,95.8,108,43,58.9,116,43,58.9,110
Mosman,64,209.4,96,59,193,82,74,242.1,95,35,114.5,115,13,42.5,116,129,422.1,104,12,39.3,18,15,49.1,118,19,62.2,113,7,22.9,118
Hunters Hill,46,311.9,62,26,176.3,93,47,318.7,73,36,244.1,91,10,67.8,113,78,528.9,88,0,0,0,18,122.1,93,14,94.9,96,12,81.4,96
Canada Bay,198,210.3,95,127,134.9,106,283,300.6,77,133,141.3,111,92,97.7,106,292,310.1,117,13,13.8,65,71,75.4,116,95,100.9,91,32,34,116
Cumberland,720,311.1,63,402,173.7,94,"1,248",539.2,37,797,344.4,68,607,262.3,40,"1,147",495.6,93,104,44.9,16,252,108.9,102,397,171.5,48,164,70.9,104
Strathfield,121,276.2,71,80,182.6,90,185,422.3,51,159,363,61,31,70.8,112,205,468,97,10,22.8,44,51,116.4,96,59,134.7,73,55,125.6,73
Burwood,87,221.3,90,74,188.2,87,109,277.3,83,101,256.9,87,56,142.5,88,160,407,105,29,73.8,5,39,99.2,107,37,94.1,97,50,127.2,72
Inner West,493,253.4,78,473,243.1,63,787,404.5,54,627,322.3,75,295,151.6,83,"1,243",638.9,74,72,37,22,277,142.4,85,240,123.4,83,133,68.4,105
Sydney,757,325,0,"1,101",472.7,0,"1,295",556,0,"3,215","1,380.30",0,"1,648",707.5,0,"2,717","1,166.50",0,283,121.5,0,711,305.2,0,398,170.9,0,662,284.2,0
Woollahra,98,167.6,108,126,215.5,76,133,227.5,100,110,188.2,104,76,130,95,219,374.6,110,3,5.1,93,59,100.9,104,57,97.5,95,47,80.4,97
Waverley,88,120.1,118,165,225.1,73,207,282.4,82,323,440.7,49,305,416.1,19,440,600.3,78,14,19.1,50,88,120.1,95,95,129.6,77,84,114.6,81
Randwick,345,227,86,286,188.2,88,548,360.5,65,545,358.6,64,242,159.2,80,787,517.8,90,30,19.7,48,176,115.8,97,185,121.7,84,98,64.5,106
Bayside,342,201.1,101,282,165.8,98,614,361,64,530,311.6,79,302,177.6,72,911,535.6,86,46,27,36,149,87.6,112,197,115.8,86,127,74.7,102
Georges River,291,186.2,104,181,115.8,114,394,252.1,90,373,238.7,93,168,107.5,105,721,461.3,100,48,30.7,32,129,82.5,113,180,115.2,87,84,53.7,113
Sutherland Shire,316,138.9,115,310,136.2,105,582,255.8,88,541,237.8,94,382,167.9,75,"1,154",507.2,91,16,7,89,176,77.3,114,198,87,101,167,73.4,103
Canterbury-Bankstown,751,204.1,99,456,123.9,111,"1,337",363.3,62,975,264.9,85,841,228.5,47,"1,830",497.2,92,127,34.5,24,402,109.2,101,589,160,58,229,62.2,108
Fairfield,332,159.3,110,254,121.8,112,848,406.8,53,596,285.9,82,342,164.1,77,"1,010",484.5,94,98,47,15,255,122.3,92,333,159.7,59,130,62.4,107
Liverpool,657,301.9,65,419,192.6,84,"1,083",497.7,42,703,323.1,74,356,163.6,78,"1,302",598.4,79,82,37.7,21,343,157.6,77,420,193,39,216,99.3,87
Campbelltown,524,318.5,60,420,255.3,61,951,578.1,31,629,382.4,57,330,200.6,57,"1,409",856.5,57,79,48,14,407,247.4,38,277,168.4,52,156,94.8,89
Camden,136,156.2,112,111,127.5,108,235,269.9,84,180,206.7,100,146,167.7,76,456,523.7,89,5,5.7,92,99,113.7,99,108,124,82,128,147,63
Penrith,853,416,43,657,320.4,45,"1,376",671.1,20,952,464.3,46,390,190.2,62,"1,827",891,55,92,44.9,17,441,215.1,58,486,237,28,207,101,86
Blacktown,"1,525",426.6,40,938,262.4,59,"2,903",812.1,13,"1,690",472.8,44,634,177.4,73,"3,422",957.3,46,249,69.7,6,679,189.9,67,781,218.5,32,277,77.5,100
Hawkesbury,167,250.7,81,114,171.1,95,223,334.7,70,208,312.2,78,88,132.1,92,427,640.9,73,11,16.5,58,157,235.7,47,92,138.1,70,77,115.6,80
Blue Mountains,200,253.3,79,132,167.2,97,341,431.8,49,209,264.7,86,113,143.1,87,721,913,53,9,11.4,76,139,176,74,74,93.7,98,71,89.9,93
Wollondilly,81,158.8,111,49,96.1,117,106,207.8,104,64,125.5,113,66,129.4,96,198,388.2,108,6,11.8,74,69,135.3,88,57,111.8,88,59,115.7,79
